NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
8284,경상남도 창원시 성산구 성주동,153,153,0,유니온빌리지,147.978,202607,10,"48,000",-,20,개인,개인,2005,삼정자로 79,-,중개거래,경남 창원시 성산구,-
8285,경상남도 창원시 성산구 사파동,93,93,0,동성,59.92,202607,10,"19,450",-,16,개인,개인,1992,창이대로 737,-,중개거래,경남 창원시 성산구,-
8286,충청북도 제천시 고암동,1268,1268,0,고암오네뜨,59.9689,202607,10,"26,200",-,14,개인,개인,2017,신죽하로 83-20,-,중개거래,충북 제천시,-
8287,경기도 군포시 도마교동,456,456,0,금강펜테리움센트럴파크1차,74.94,202607,10,"55,000",-,10,개인,개인,2018,송부로49번길 15,-,중개거래,경기 군포시,-
8288,경기도 남양주시 별내동,895,895,0,별내우미린스타포레,84.8413,202607,10,"70,000",-,11,개인,개인,2019,별내5로 189-130,-,중개거래,"경기 구리시, 경기 남양주시",-
8289,충청북도 제천시 청전동,987,987,0,덕일한마음,84.495,202607,10,"17,500",-,15,개인,개인,1995,칠성로 5,-,중개거래,충북 제천시,-
8290,경기도 남양주시 별내동,852,852,0,별내아이파크2차,72.48,202607,10,"74,000",-,15,개인,개인,2015,덕송1로 30,-,중개거래,경기 남양주시,-
8291,경기도 남양주시 별내동,899,899,0,모아미래도아파트,84.9734,202607,10,"65,000",-,17,개인,개인,2014,불암로 336,-,중개거래,경기 남양주시,-
8292,경기도 남양주시 오남읍 오남리,250,250,0,파라다이스빌,84.985,202607,10,"32,000",-,3,개인,개인,2004,진건오남로 596-18,-,중개거래,경기 남양주시,-
8293,경상남도 김해시 안동,333-2,333,2,대아,84.29,202607,10,"11,500",-,8,개인,개인,1992,분성로627번길 16-3,-,중개거래,경남 김해시,-
8294,경기도 남양주시 별내동,899,899,0,모아미래도아파트,84.9734,202607,10,"40,000",-,7,개인,개인,2014,불암로 336,-,직거래,-,-
8295,경기도 평택시 비전동,800,800,0,한성,77.38,202607,10,"23,300",-,13,개인,개인,1997,평택5로 254,-,중개거래,경기 평택시,-
8296,경기도 남양주시 별내동,808,808,0,별내별가람역 한라비발디,84.97,202607,10,"72,000",-,4,개인,개인,2013,덕송3로 7,-,중개거래,경기 남양주시,-
8297,경상남도 창원시 성산구 가음동,8,8,0,한림풀에버,64.7699,202607,10,"56,200",-,9,개인,개인,2014,가음정로23번길 10-21,-,중개거래,경남 창원시 성산구,-
8298,경기도 화성시 병점구 병점동,485,485,0,한신,59.808,202607,10,"26,800",-,4,개인,개인,1999,병점1로 82,-,중개거래,경기 화성시 병점구,-
8299,충청북도 충주시 중앙탑면 용전리,721,721,0,충주시티자이,84.9571,202607,10,"27,400",-,6,개인,개인,2017,원앙4길 51,-,중개거래,충북 충주시,-
8300,경상남도 창원시 성산구 가음동,8,8,0,한림풀에버,64.7699,202607,10,"47,300",-,1,개인,개인,2014,가음정로23번길 10-21,-,중개거래,경남 창원시 성산구,-
8301,경상남도 창원시 성산구 가음동,16,16,0,창원더샵센트럴파크2단지,84.8797,202607,10,"74,000",-,19,개인,개인,2017,원이대로863번길 19,-,중개거래,경남 창원시 성산구,-
8302,경기도 의왕시 오전동,898,898,0,의왕더샵캐슬,84.9681,202607,10,"94,500",-,5,개인,개인,2021, ,-,중개거래,경기 의왕시,-
8303,경상남도 창원시 성산구 가음동,03월 23일,23,3,은아,49.83,202607,10,"25,500",-,5,개인,개인,1987,원이대로883번길 6,-,중개거래,경남 창원시 성산구,-
8304,경기도 남양주시 와부읍 도곡리,1012,1012,0,한강우성,59.891,202607,10,"37,900",-,2,개인,개인,1998,덕소로 270,-,중개거래,경기 남양주시,-
8305,경기도 의왕시 학의동,1099,1099,0,의왕백운 해링턴 플레이스 3단지,84.9923,202607,10,"84,000",-,9,개인,개인,2019,백운중앙로 99,-,중개거래,경기 의왕시,-
8306,경기도 평택시 합정동,870,870,0,참이슬,59.9838,202607,10,"19,600",-,5,개인,개인,1999,참이슬길 13,-,중개거래,경기 평택시,-
8307,충청북도 충주시 안림동,1167,1167,0,충주안림엘에이치천년나무1단지,84.97,202607,10,"31,000",-,8,개인,개인,2015,봉현로 365,-,중개거래,충북 충주시,-
8308,경기도 평택시 통복동,Feb-88,88,2,꿈의도시두드림,19.01,202607,10,"6,000",-,7,개인,개인,2017,통복시장로6번길 37,-,직거래,-,-
8309,경기도 평택시 평택동,Oct-35,35,10,평택역코아루두드림,19.92,202607,10,"7,000",-,6,개인,개인,2019,평택1로12번길 35,-,중개거래,경기 평택시,-
8310,경기도 광주시 송정동,573,573,0,금강펜테리움1단지,84.9584,202607,10,"34,000",-,5,개인,개인,2010,경안천로 159,-,중개거래,경기 광주시,-
8311,충청북도 충주시 연수동,686,686,0,"연수주공4차,5차",59.71,202607,10,"11,800",-,9,개인,개인,1997,예성로 401,-,중개거래,충북 충주시,-
8312,충청북도 충주시 연수동,1220,1220,0,세원한아름,59.76,202607,10,"12,800",-,2,개인,개인,1996,금릉로 101,-,중개거래,충북 충주시,-
8313,경기도 양주시 백석읍 가업리,605,605,0,서광(아침의빛),84.62,202607,10,"15,400",105,11,기타,개인,2008,양주산성로 838-71,-,직거래,-,26.07.10
8314,경기도 의정부시 민락동,550-4,550,4,민락e-편한세상,84.9591,202607,10,"40,500",-,5,개인,개인,2006,오목로 117,-,중개거래,경기 의정부시,-
8315,경기도 양주시 백석읍 가업리,605,605,0,서광(아침의빛),84.62,202607,10,"15,400",105,10,개인,기타,2008,양주산성로 838-71,-,직거래,-,26.07.10
8316,경기도 안양시 동안구 비산동,1155,1155,0,더포레스트힐,84.75,202607,10,"59,900",-,12,개인,개인,2003,임곡로 43,-,중개거래,경기 안양시 동안구,-
8317,경기도 안양시 동안구 비산동,425,425,0,삼성래미안,84.918,202607,10,"85,000",-,1,개인,개인,2003,관악대로 135,-,중개거래,경기 안양시 동안구,-
8318,경기도 이천시 대월면 사동리,465,465,0,사동6현대,59.98,202607,10,"13,000",-,12,개인,개인,1999,경충대로2050번길 70-50,-,중개거래,경기 이천시,-
8319,경기도 평택시 지산동,1134,1134,0,미주2(지산1134),53.92,202607,10,"9,800",-,2,개인,개인,1994,송탄공원로 145,-,중개거래,경기 평택시,-
8320,경상남도 창원시 성산구 남양동,24,24,0,피오르빌,49.51,202607,10,"14,100",207,14,개인,개인,1995,대정로 84,-,중개거래,경남 창원시 성산구,26.07.14
8321,경상남도 창원시 성산구 남양동,1,1,0,동성,77.695,202607,10,"25,200",-,12,개인,개인,1990,대암로 64,-,중개거래,경남 창원시 성산구,-
8322,경상남도 창원시 성산구 남양동,22,22,0,성원2차,84.92,202607,10,"29,100",-,7,개인,개인,1992,대정로 99,-,중개거래,경남 창원시 성산구,-
8323,경기도 안양시 동안구 비산동,1163,1163,0,안양임곡휴먼시아,59.71,202607,10,"63,000",-,3,개인,개인,2007,임곡로 16,-,중개거래,경기 안양시 동안구,-
8324,경기도 의정부시 민락동,890,890,0,민락엘레트,51.91,202607,10,"28,500",-,2,개인,개인,2017,송양로 94,-,중개거래,경기 의정부시,-
8325,경상남도 창원시 성산구 용호동,62,62,0,롯데2단지,55.65,202607,10,"62,500",-,1,개인,개인,1998,용지로239번길 19-30,-,중개거래,경남 창원시 성산구,-
8326,경기도 남양주시 호평동,615,615,0,호평마을신명스카이뷰하트,132.0907,202607,10,"65,000",-,11,개인,개인,2006,늘을2로 90-36,-,중개거래,서울 송파구,-
8327,경기도 하남시 창우동,518,518,0,부영,59.97,202607,10,"71,000",-,3,개인,개인,1994,대청로 119,-,중개거래,경기 하남시,-
8328,경기도 파주시 문산읍 당동리,947,947,0,파주한양수자인리버팰리스아파트,84.86,202607,10,"23,800",-,6,개인,개인,2015,당동1로 52,-,중개거래,경기 파주시,-
8329,경상남도 창원시 성산구 용호동,69,69,0,용지더샵레이크파크,84.475,202607,10,"113,000",-,23,개인,개인,2017,외동반림로 156,-,중개거래,경남 창원시 성산구,-
8330,경기도 파주시 금촌동,972,972,0,새꽃마을1단지뜨란채(972-0),59.99,202607,10,"21,900",-,18,개인,개인,2004,번영로 55,-,중개거래,경기 파주시,-
8331,경기도 파주시 금촌동,922,922,0,주공(922-0),49.97,202607,10,"15,500",-,15,개인,개인,1997,한마음1길 25,-,중개거래,경기 파주시,-
8332,경기도 의정부시 가능동,847,847,0,e편한세상녹양역,59.9802,202607,10,"32,000",-,20,개인,개인,2019,녹양로34번길 47,-,중개거래,경기 의정부시,-
8333,경기도 화성시 병점구 능동,1282,1282,0,서동탄역파크자이,76.9706,202607,10,"54,500",-,5,개인,개인,2018,서동탄로 53,-,중개거래,경기 화성시 병점구,-
8334,경기도 오산시 외삼미동,650,650,0,서동탄역더샵파크시티,101.918,202607,10,"74,000",-,16,개인,개인,2019,문시로 183-19,-,중개거래,경기 화성시 동탄구,-
8335,경기도 오산시 외삼미동,650,650,0,서동탄역더샵파크시티,74.6784,202607,10,"57,000",-,12,개인,개인,2019,문시로 183-19,-,중개거래,경기 오산시,-
8336,경기도 화성시 병점구 능동,1287,1287,0,서동탄역양우내안애,55.98,202607,10,"44,000",-,4,개인,개인,2023,서동탄로 71,-,중개거래,경기 화성시 동탄구,-
8337,경기도 안양시 동안구 비산동,1163,1163,0,안양임곡휴먼시아,59.71,202607,10,"63,000",-,3,개인,개인,2007,임곡로 16,20260715,중개거래,경기 안양시 동안구,-
8338,경상남도 창원시 성산구 대원동,110,110,0,에일린의뜰1단지,59.9121,202607,10,"64,600",-,6,개인,개인,2025,대원로 79,-,중개거래,경남 창원시 성산구,-
8339,경기도 김포시 구래동,6874-20,6874,20,김포한강아이파크,75.6597,202607,10,"37,800",-,20,개인,개인,2018,김포한강4로420번길 100,-,중개거래,경기 김포시,-
8340,경기도 양주시 덕계동,853,853,0,범양2단지,84.7524,202607,10,"25,500",-,3,개인,개인,2006,평화로 1476-24,-,중개거래,경기 양주시,-
8341,경기도 광명시 소하동,48-55,48,55,동양메이저2차,84.983,202607,10,"74,500",-,25,개인,개인,2003,하안로 198,-,중개거래,경기 광명시,-
8342,경상북도 안동시 태화동,922,922,0,e-편한세상안동1단지,70.975,202607,10,"33,500",104동,10,개인,개인,2016,경동로 404-22,-,중개거래,경북 안동시,26.07.10
8343,경기도 파주시 문산읍 당동리,947,947,0,파주한양수자인리버팰리스아파트,84.653,202607,10,"24,400",-,16,개인,개인,2015,당동1로 52,-,중개거래,경기 파주시,-
8344,경상남도 김해시 지내동,360,360,0,지내동2차양지마을동원,59.4832,202607,10,"13,000",-,11,개인,개인,2002,분성로727번길 21,-,중개거래,경남 김해시,-
8345,경기도 광명시 하안동,651,651,0,주공4,58.01,202607,10,"83,500",-,9,개인,개인,1989,안현로 36,-,중개거래,경기 광명시,-
8346,경기도 광명시 하안동,681,681,0,주공2,45.77,202607,10,"64,700",-,6,개인,개인,1989,안현로 35,-,중개거래,경기 광명시,-
8347,경기도 광명시 하안동,682,682,0,주공1,49.94,202607,10,"69,400",-,3,개인,개인,1989,안현로 15,-,중개거래,경기 광명시,-
8348,경기도 파주시 야동동,587,587,0,대방노블랜드(587-0),59.73,202607,10,"14,000",-,9,개인,개인,2001,평화로 280,-,중개거래,경기 파주시,-
8349,경상남도 창원시 마산합포구 산호동,651,651,0,창원칸타빌오션뷰,74.8907,202607,10,"33,700",-,33,개인,개인,2021,합포동6길 8,-,중개거래,경남 창원시 마산합포구,-
8350,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,39.65,202607,10,"60,000",-,24,개인,개인,2001,가림일로 101,-,중개거래,"경기 광명시, 서울 강남구",-
8351,경기도 화성시 효행구 봉담읍 동화리,652,652,0,에듀시티파라곤,72.6558,202607,10,"46,600",-,17,개인,개인,2023,동화서북안길 10,-,중개거래,경기 화성시 효행구,-
8352,충청남도 서산시 예천동,1734,1734,0,서산푸르지오더센트럴,99.908,202607,10,"59,000",-,7,개인,개인,2023,예천3로 72,-,중개거래,충남 서산시,-
8353,충청남도 계룡시 엄사면 엄사리,226-4,226,4,삼진,29.13,202607,10,"4,500",102,12,개인,개인,1997,번영3길 73-12,-,중개거래,충남 계룡시,26.07.10
8354,충청북도 청주시 청원구 오창읍 각리,647-1,647,1,쌍용스윗닷홈오창예가,59.945,202607,10,"19,000",-,1,개인,개인,2006,오창중앙로 105,-,직거래,-,-
8355,경상북도 포항시 북구 흥해읍 학천리,806-5,806,5,학천삼도미래타운2차,50.544,202607,10,"4,800",-,2,개인,개인,2000,도음로 902,-,중개거래,경북 포항시 북구,-
8356,충청남도 계룡시 엄사면 엄사리,282,282,0,성원,58.32,202607,10,"10,000",-,3,개인,개인,1997,엄사중앙로 66,-,중개거래,충남 계룡시,-
8357,충청남도 서산시 예천동,1727,1727,0,센텀파크뷰서희,72.0064,202607,10,"30,500",-,4,개인,개인,2021,고운로 17,-,중개거래,충남 서산시,-
8358,경기도 안성시 석정동,343,343,0,우남퍼스트빌,112.4454,202607,10,"34,000",-,6,개인,개인,2007,중앙로 274-7,-,직거래,-,-
8359,경상남도 창원시 마산합포구 신포동1가,76,76,0,마산만I'PARK,154.0417,202607,10,"69,500",-,16,개인,개인,2010,제2부두로 17,-,중개거래,경남 창원시 마산합포구,-
8360,충청남도 당진시 읍내동,1687,1687,0,당진아이파크,59.98,202607,10,"27,000",-,19,개인,개인,2022,당진중앙2로 290,-,중개거래,충남 당진시,-
8361,경기도 안양시 만안구 박달동,85,85,0,우성,72.94,202607,10,"41,300",-,5,개인,개인,1990,박달로498번길 28,-,중개거래,경기 안양시 만안구,-
8362,전북특별자치도 전주시 완산구 효자동2가,1363,1363,0,전주효천우미린더퍼스트,84.9886,202607,10,"61,000",-,25,개인,개인,2019,효천중앙로 11,-,중개거래,"전북 전주시 덕진구, 전북 전주시 완산구",-
8363,경상남도 양산시 물금읍 범어리,2837,2837,0,양산브라운스톤,84.9011,202607,10,"42,800",-,13,개인,개인,2023,황산로 699,-,중개거래,경남 양산시,-
8364,경상남도 양산시 동면 내송리,902,902,0,사송더샵데시앙1단지,84.9589,202607,10,"43,500",-,4,개인,개인,2021,내송큰들로 141,-,중개거래,경남 양산시,-
8365,경상남도 양산시 동면 내송리,908,908,0,사송트루엘,59.75,202607,10,"27,200",-,3,개인,개인,2022,내송큰들로 84,-,중개거래,경남 양산시,-
8366,경상남도 양산시 동면 내송리,901,901,0,양산사송제일풍경채퍼스트파크,84.9552,202607,10,"44,000",-,14,개인,개인,2024,내송큰들로 140,-,중개거래,경남 양산시,-
8367,경상남도 양산시 동면 석산리,300,300,0,극동,59.79,202607,10,"6,950",-,6,개인,개인,1995,계석로 10,-,중개거래,경남 양산시,-
8368,경상남도 양산시 동면 석산리,1447-1,1447,1,양산이지더원리버포레,72.548,202607,10,"30,800",-,5,개인,개인,2017,금오16길 100,-,중개거래,경남 양산시,-
